AbiDe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vi.坚持,遵守;vt.忍受,容忍"
Ability,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.能力,才干"
able,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.能...的,有才能的,能干的,能够的"
Abloom,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,adv.开花;adj.开花的
ably,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adv.能干地,巧妙地"
ABN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,airborne
ABNORMAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.反常的,变态的"
abo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,adj.<澳> (=aborigine) 土佬(对澳洲土著的蔑称)的 (Abo)adj.(
Aboard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adv.在船(飞机、车)上,上船(飞机、车) prep.在(船、飞机、车)上,上(船、飞机"
Abolish,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vt.废止,废除(法律、制度、习俗等)"
aboriginal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.土著的,原来的n.土著居民"
Abort,中断,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vi.异常中断,中途失败,夭折,流产,发育不全n.中止计划[任务]"
Aborted,中断,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.流产的,失败的"
Aborting,中断,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
abortion,中断,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.流产,堕胎,失败,夭折,中止,早产"
ABORTIVE,中断,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.早产的,流产的,失败的;adj.夭折的,异常终止的,中断的"
Aborts,中断,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
About,关于,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adv.附近,大约,转向,左右,周围;prep.在附近,关于,在...周围,忙于"
AboutUs,关于,我们,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Above,之上,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.上面的,上述的,上文的;adv.在上面;prep.在...上方,过于,超出"
AboveGround,在地上,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adv.在地上,未被埋葬地,活着"
Abrasion,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,n.磨损
Abroad,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adv.往国外,到处,海外,广泛,差得远,心里没有谱"
Abrupt,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.突然的,陡峭的,生硬的"
absent,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.不在的,缺席的,缺少的;vt.缺席"
Absolute,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.完全的,绝对的"
Absolutely,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adv.完全地,绝对地"
Absolve,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,v.宣布免除
Absorb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vt.吸收,吸引"
Absorbed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.全神贯注的,一心一意的"
absorber,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.吸收者,吸收体,减震器"
Absorbing,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.吸引人的,非常有趣的"
Absorption,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,n.吸收
Abstain,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"v.禁绝,放弃"
Abstract,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
Abstraction,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,n.提取
Abu,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asian Broadcast Union,亚洲广播联盟"
Abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.丰富,充裕,丰富充裕"
Abundant,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.丰富的,充裕的,丰富,盛产,富于"
Abuse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂"
Abutting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,adj.邻接的
Abyss,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,n.深渊
Ac,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Alternating Current,交流电;Armored Car,装甲车 交流(电)"
Academic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.学院的,理论的"
Academy,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.(高等)专科院校,研究院,学会,学术团体,学院"
Accede,加入,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"v.同意,加入,同意"
accelerate,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"v.加速,促进"
Accelerated,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,adj.加速的
Acceleration,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,n.加速度
Accelerator,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.加速者,加速器"
ACCENT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.重音,口音,重音符"
Accept,接受,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vt.接受,认可,承担,承兑vi.同意,承认"
Acceptable,接受,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.可接受的,合意的"
acceptance,接受,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.接受,承诺,容忍,赞同,相信"
Accepted,接受,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.一般承认的,公认的"
Accepting,接受,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Acceptor,接受,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.接受者,接收器"
Accepts,接受,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Access,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.通路,访问,入门vt.存取,接近"
Accessibility,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.易接近,可到达的"
accessible,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.易接近的,可到达的,易受影响的,可理解的"
Accessing,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,访问
Accessories,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,n.[计] 附件
Accessory,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.附件,零件,附加物,从犯,同谋者adj.附属的,补充的,同谋的,副的"
Accident,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.意外事件,事故"
accidental,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.意外的,非主要的,附属的n.非本质属性,次要方面"
Accomodate,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"v.容纳,留宿,使...适应"
Accompaniment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.陪伴物,伴奏"
Accompany,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vt.陪伴,伴奏"
Accomplish,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vt.完成,达到,实现"
ACCOMPLISHED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.完成的,熟练的,多才多艺的"
AccomplishMent,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ns//n.造诣
Accord,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合"
According,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,adv.依照
Accordion,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,n.手风琴adj.可折叠的
Accost,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vt.对...说话,搭话"
Account,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为"
accountability,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.有责任,有义务,可说明性"
Accountant,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.会计(员),会计师"
Accounting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.会计学,清算帐目"
AccountS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"帐目,帐号"
AccoutermentS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.军人的配备,服装"
AccRa,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,n.阿克拉(加纳的首都)
Accredit,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vt.信任,授权,归于"
Accumulate,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"v.积聚,堆积"
Accumulation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.积聚,堆积物"
Accumulative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.积聚的,累积的"
Accumulator,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.<英>蓄电池,积聚者"
Accuracy,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.精确性,正确度"
Accurate,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.正确的,精确的"
Accurately,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adv.正确地,精确地"
Accusation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.谴责,[律]指控"
AccUse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vt.控告,谴责,非难"
AccUser,玩家,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,n.原告
aCD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Automatic Call Distributor,自动呼叫转发器"
ace,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.(纸牌或骰子)幺点,王牌飞行员(击落敌机五架以上者);adj.一流的;[军]Allie"
acer,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"宏基电脑公司,主要生产个人电脑产品"
Ache,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.疼痛vi.觉得疼痛,渴望"
Achieve,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vt.完成,达到"
Achievement,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.成就,功绩"
aching,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.痛的,疼痛的,心痛的"
achy,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,adj.疼痛的
aCid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.酸,<俚>迷幻药;adj.酸的,讽刺的,刻薄的;""atomicity,consiste"
Acknowledge,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vt.承认,答谢,报偿"
acknowledged,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,adj.公认的
Acknowledgement,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.承认,确认,竧 of receipt//回执行"
acknowledgment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.承认,承认书,感谢"
aclu,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"American Civil Liberties Union,美国公民自由协会"
aCMe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.顶点,极致"
acne,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.痤疮,粉刺"
acorn,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.[植]橡树果,橡子"
acoustic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.有关声音的,声学的,音响学的"
Acquaintance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.相识,熟人"
Acquirable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.可得的,可获的"
Acquire,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vt.获得,学到"
acquired,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.已获得的,已成习惯的,后天通过自己的努力得到的"
Acquisition,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.获得,获得物"
Acquit,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vt.宣告无罪,脱卸义务和责任,还清(债务)"
ACRe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.英亩,(pl.)地产,大片田地"
Acreage,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.英亩数,面积"
acronym,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,n.只取首字母的缩写词
aCross,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adv.横过,交叉地,在对面 prep.越过,交叉,在...的那边,在...对面那边"
Acs,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"American Chemical Society,美国化学学会;Advance Comm"
Act,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.幕,法案,法令,动作,举动,节目,(戏剧的)幕vi.行动,产生...的效果,担当,表演"
Acting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.代理的,起作用的,演戏的"
Action,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.动作,作用,战斗,行动,举动,行为,(戏剧或书中)的情节,(某一地区、领域或团体中)最"
Actionable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,adj.可控告的
Activated,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,adj.有活性的
Activating,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vbl.使活动
Activation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.活化,激活,[化]活化作用"
Activator,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.[化]催化剂,触媒剂"
Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.积极的,能起作用的,现行的,[语法]主动的,活动的,活跃的,活性的;n.[语法] "
actively,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adv.活跃地,积极地"
ActiveX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,n.微软倡导的ActiveX 网络化多媒体对象技术
Activity,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.活跃,活动性,行动,行为,[核]放射性"
ActOn,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.铠衣(13及14世纪时穿在铠甲里的短袄),皮铠衣"
Actor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.男演员,行动者,参与者"
Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.实际的,真实的,现行的,目前的"
Actualize,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vt.实现,实施"
Actually,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adv.实际上,事实上,竟然,居然,如今"
Actuator,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,n.激励者
Acute,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.敏锐的,[医]急性的,剧烈"
Ad,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.广告 [域] Andorra ,安道尔 [军] Air Defense,防空 (AD)"
adA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.艾达;Augusta Ada Byron,ADA编程语言"
Adam,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.亚当(<<圣经>>故事人物,所谓人类始祖)"
Adamant,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,adj.坚硬的
adams,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,n.亚当斯
Adapt,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vt.使适应,改编"
Adaptable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.能适应的,可修改的"
Adaptation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.适应,改编,改写本"
adapted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,adj.适合的
Adapter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.适配器,改编者;扩充卡或特殊设计的电路"
Adapters,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,适配器
Adaption,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.(=adaptation)适应,改编"
Adaptive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,adj.适应的
ADAPTOR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.<美>编剧者,改编者"
ADB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asian Development Bank,亚洲开发银行"
ADD,NULL,加入,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vt.增加,添加,计算...总和,补充说,又说;vi.加,加起来,增添,做加法"
AddAx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,n.[动]曲角羚羊(产于北非)
AddEd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.更多的,附加的,额外的"
AddEnd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,n.[数]加数
AddEndA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.pl.附录,附加物"
AddEr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.[计]加法器,[动]小毒蛇,(北美产无毒的)猪鼻蛇"
Addict,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vt.使沉溺,使上瘾;n.入迷的人,有瘾的人"
Addiction,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.沉溺,上瘾"
Adding,NULL,加入,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vbl.加,增加"
Addition,NULL,加入,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.加,加起来,增加物,增加,加法"
Additional,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.另外的,附加的,额外的"
Additive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.附加的,加成的,添加的;n.添加剂adj.添加的,附加的,加法的"
addle,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vt.使腐坏,使糊涂adj.腐坏的"
address,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.地址,致辞,演讲,说话的技巧vt.向...致辞,演说,写姓名地址,从事,忙于"
addressable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,adj.可设定地址的
Addressee,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.受信人,收件人"
AddUCT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,vt.[生理]使内收;n.[化]加合物
aDelA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,n.阿德拉
adEle,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,n.阿黛尔(Adela的异体)(f.)
adEn,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.亚丁(也门人民共和国首都,临亚丁湾)"
ADept,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.熟练的,拿手的;n.老手,擅长者"
AdH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,antidiuretic hormone [生化]抗利尿激素
adhere,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vi.粘附,胶着,坚持v.坚持"
Adhesion,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,n.支持
Adhesive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.带粘性的,胶粘;n.粘合剂"
adi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,acceptable daily intake (药物、辐射线等的)每日允许摄入量
AdIOS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"int.再见,一路平安"
ADIt,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.入口,[矿]横坑,进入"
Adjacent,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.邻近的,接近的"
adjectival,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,adj.形容词的
Adjoin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"v.邻接,毗连"
Adjoining,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.邻接的,隔壁的"
Adjourn,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vi.延期,休会,换另一 个地方vt.使中止,推迟"
Adjudication,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.判决,(法院的)宣告"
Adjudicator,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.判决者,裁定者"
adjunct,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.附件,助手adj.附属的"
adJuration,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.恳请,请愿"
adjust,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vt.调整,调节,校准,使适合"
Adjustable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,adj.可调整的
Adjusted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,adj.调整过的
Adjuster,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.调停者,调节器"
Adjustment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.调整,调节,调节器"
adjustor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.调停者,调节器"
Adjutant,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,adj.补助的;n.副官
ADM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,admiral
Administrative,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,court//n.行政法庭 law//n.行政法
Administrator,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.管理人,行政官 (Administrator)[计]网络管理员"
Administrators,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"管理员,管理程序/hip//n.管理人的职位(职务)"
Admiral,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.海军上将,舰队司令,旗舰"
Admiration,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.钦佩,赞美,羡慕"
Admire,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"v.赞美,钦佩,羡慕"
admissible,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.可容许的,可接纳的"
Admission,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.允许进入,承认某事之陈述,供认"
Admit,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"v.容许,承认,接纳"
Admittance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.入场权,准入"
Admixture,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.混合,混合物"
Adobe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"n.砖坯,土砖 美国Adobe公司,是著名的图形图像和排版软件的生产商"
Adopt,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"vt.采用,收养"
Adopted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"adj.被收养的,被采用的"
